customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4009-KESG,Male,0,No,No,68,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,79.31,5390.16,Yes
3663-XRFT,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,113.63,341.17,Yes
5582-IYEK,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.49,2186.77,No
6387-VLRX,Female,0,No,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),112.82,5193.29,Yes
3408-HVXZ,Male,1,No,Yes,42,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.77,3601.74,Yes
7971-GSQO,Female,0,Yes,No,69,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.75,6261.5,Yes
9806-AAAA,Male,0,Yes,Yes,12,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),91.41,1099.12,No
8437-DJVH,Female,0,No,No,26,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.76,2800.06,No
3863-QWIU,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,113.9,3298.76,Yes
9519-WOYI,Female,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,49.33,395.73,No
6027-QWIU,Female,0,No,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.34,1422.42,No
2652-HVXZ,Male,0,No,Yes,67,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,75.02,5017.11,No
4083-JBLV,Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,102.86,1547.0,No
4764-ZXTP,Female,0,No,No,54,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.95,4045.71,Yes
5945-YUME,Female,0,No,No,8,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,64.14,507.35,Yes
4363-BDHL,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),110.45,1107.28,Yes
8734-LHZR,Female,0,No,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.89,4124.47,No
8423-RZPF,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.78,1090.64,Yes
8226-BDHL,Male,0,No,No,68,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),85.81,5839.74,Yes
9844-RZPF,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,103.85,6750.83,No
4610-JBLV,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,52.37,3038.92,No
1698-HVXZ,Female,1,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.73,5000.68,Yes
9210-IYEK,Male,0,No,No,70,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.58,6485.83,Yes
4539-BDHL,Female,0,No,No,45,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.15,2749.14,No
8347-ZXTP,Male,1,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.14,295.89,Yes
7381-QWIU,Female,0,No,Yes,34,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,110.03,3742.21,Yes
2141-OQUY,Male,0,Yes,Yes,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.43,1343.15,Yes
1728-TFDB,Male,0,Yes,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),101.25,2524.46,Yes
4607-GSQO,Female,0,No,No,71,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),86.86,6163.61,No
7993-EMCS,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,113.17,6224.86,No
3381-DJVH,Male,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.02,979.31,Yes
9089-IYEK,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),106.61,3843.15,Yes
5232-NNNN,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,107.4,3546.53,No
1968-DJVH,Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,85.23,5878.26,No
1661-CGOW,Female,0,Yes,No,58,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.7,4320.21,Yes
3555-MKGC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),98.13,788.97,No
7185-RZPF,Female,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,85.26,5719.59,Yes
6463-YUME,Female,0,Yes,No,61,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.92,4934.02,Yes
1887-JBLV,Female,0,No,No,30,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,69.54,2093.04,No
3017-PTBJ,Female,1,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.48,492.56,No
9305-WOYI,Male,0,No,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),109.4,4598.45,No
7359-GSQO,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,86.91,2084.93,Yes
7823-OQUY,Male,1,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,88.11,6340.04,No
6867-SCWQ,Male,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),115.59,5087.65,No
4940-GSQO,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.3,448.97,Yes
8587-WOYI,Female,0,No,No,11,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.32,882.62,Yes
